          x_f      vx_f       y_f      vy_f
 1.360526e-02  1.116902 -0.045756 -3.758130
 3.612073e-02  3.958443 -0.000325 -0.033295
-9.743423e-03 -0.771144 -0.048745 -3.844677
 9.667137e-03  0.980991  0.037881  3.830137
-3.361838e-02 -3.169497  0.031349  2.330959
 2.573372e-02  2.704165 -0.023681 -2.567933
 3.566845e-02  3.594004  0.015941  1.275062
 3.427560e-02  3.400110 -0.024138 -2.492943
-3.368860e-02 -3.867205  0.000502  0.040897
-1.314084e-02 -1.217777 -0.045143 -4.277733
-4.045717e-02 -4.001397 -0.019722 -1.917798
 4.178552e-02  3.804809 -0.018170 -1.720481
-4.068829e-02 -3.925915  0.009780  1.143148
-7.815959e-03 -0.893011  0.035578  3.854674
-4.368029e-02 -4.510410  0.003301  0.340771
 2.129708e-02  1.533698 -0.051828 -4.574272
-1.026033e-03 -0.104745  0.047083  4.026553
 3.026556e-02  3.122630 -0.021011 -2.103248
-2.252213e-02 -2.194326  0.041810  4.092014
-6.140417e-02 -4.973014 -0.011250 -0.881562
 4.127098e-02  4.018859 -0.027951 -2.567090
 5.600494e-03 -0.045873 -0.054667 -3.639948
-5.180170e-02 -4.769237 -0.012195 -1.116861
-2.226450e-02 -2.202241  0.037437  3.787693
 5.065880e-02  3.725420 -0.016423 -1.223146
 2.908081e-02  2.022318 -0.039958 -3.495168
 5.204291e-02  3.719995 -0.033379 -2.797485
-4.609696e-02 -4.423728 -0.025827 -2.505630
 1.346249e-02  1.442953 -0.034135 -3.624625
 3.158478e-02  3.708609  0.002559  0.343968
-4.091797e-02 -3.167434 -0.033546 -2.607079
-2.199922e-02 -1.906063  0.042808  3.889448
-1.407180e-02 -1.080029  0.048427  3.759112
 2.810334e-02  2.817736 -0.025116 -2.543967
 2.172967e-02  3.043906 -0.006420 -0.877075
 3.399801e-02  2.701885 -0.042409 -3.600856
 1.738373e-02  1.986159 -0.030822 -3.471776
-3.012939e-02 -3.303634  0.011771  1.187491
 2.446794e-02  2.916502  0.021146  2.504654
-4.905159e-02 -4.730657  0.002714  0.305850
 4.305705e-02  4.057403  0.011492  1.055650
-3.139126e-02 -3.287569 -0.018422 -1.936643
 5.626164e-02  4.376761 -0.009926 -0.832650
 2.082419e-02  1.827966  0.026644  2.504590
-1.333769e-03 -0.155823  0.021494  2.758267
 3.955236e-02  3.721810  0.021580  1.330210
 2.653446e-02  2.814528 -0.004767 -0.548550
-3.688682e-02 -3.730887 -0.024299 -2.415140
 2.473655e-02  2.655387 -0.028805 -3.108483
-4.466443e-03 -0.486258  0.034714  3.766469
 2.080685e-02  1.627816  0.036720  3.163989
 4.630044e-02  3.931564 -0.008377 -0.823801
 3.556670e-02  3.300816 -0.015012 -1.397144
-1.483589e-02 -1.236705  0.046224  3.929129
-9.414112e-03 -1.078592  0.062678  4.531942
-1.039637e-02 -0.810938 -0.053994 -4.299363
 3.326323e-02  3.472926  0.021328  2.278251
-5.351599e-02 -4.586938 -0.013892 -1.063009
-3.991283e-02 -3.659721  0.016300  1.672366
 1.922141e-02  2.177007 -0.027581 -3.112438
 2.144115e-02  2.118711 -0.047498 -4.402599
-2.013501e-03 -0.240729  0.037852  3.985269
 2.397474e-02  2.749703 -0.003101 -0.483176
 1.101009e-02  1.150589  0.034489  3.570585
 1.275708e-02  1.099283 -0.067820 -5.505158
-4.529565e-02 -4.398076  0.017676  1.622605
-4.699573e-02 -4.537504 -0.024159 -2.259374
 5.204189e-02  3.877660  0.002820  0.151180
-1.746169e-02 -1.968077  0.028287  3.183816
 1.831892e-02  1.757246 -0.037707 -3.510086
-2.749567e-03 -0.289019  0.034558  3.855336
 1.194587e-02  1.132865 -0.034191 -3.092781
 5.247608e-02  4.825744 -0.000201 -0.113232
 3.857454e-02  3.964983  0.003707  0.422799
-3.621864e-02 -3.895726  0.003600  0.394634
-6.718305e-03 -0.575168  0.036185  3.790775
-2.573362e-02 -3.049057 -0.018172 -2.146431
 1.409406e-02  1.670427  0.029187  3.362218
 3.948721e-03  0.359345 -0.032163 -3.669351
-1.506532e-02 -1.237335  0.050261  3.826962
 3.012036e-02  3.259204  0.023759  2.457652
 6.898480e-02  5.099448  0.002258  0.031982
-2.004868e-02 -1.795917  0.042221  3.651069
 3.242349e-02  3.774306  0.003453  0.386681
-1.880228e-02 -1.764761  0.048501  3.786956
